Timestamp,Age,Location,Feel Safe,Know Emergency Number,Use Safety App
2025-05-01 22:30:00,48,Chennai,Not Safe,Yes,No
2025-05-01 22:40:00,49,Chennai,Somewhat Safe,Yes,No
2025-05-01 22:50:00,39,Lucknow,Somewhat Safe,Yes,Yes
2025-05-01 23:00:00,47,Kolkata,Not Safe,No,Yes
2025-05-01 23:10:00,36,Bhopal,Somewhat Safe,Yes,No
2025-05-01 23:20:00,26,Jaipur,Somewhat Safe,Yes,No
2025-05-01 23:30:00,28,Ranchi,Somewhat Safe,Yes,No
2025-05-01 23:40:00,41,Hyderabad,Somewhat Safe,Yes,No
2025-05-01 23:50:00,27,Mumbai,Somewhat Safe,Yes,Yes
2025-05-02 00:00:00,49,Guwahati,Somewhat Safe,No,Yes
2025-05-02 00:10:00,26,Nagpur,Very Safe,Yes,No
2025-05-02 00:20:00,34,Kanpur,Very Safe,No,Yes
2025-05-02 00:30:00,22,Ahmedabad,Very Safe,Yes,Yes
2025-05-02 00:40:00,18,Lucknow,Somewhat Safe,Yes,Yes
2025-05-02 00:50:00,32,Noida,Somewhat Safe,Yes,No
2025-05-02 01:00:00,48,Bhopal,Very Safe,Yes,Yes
2025-05-02 01:10:00,26,Bhopal,Not Safe,Yes,No
2025-05-02 01:20:00,27,Jaipur,Somewhat Safe,No,No
2025-05-02 01:30:00,41,Guwahati,Somewhat Safe,No,No
2025-05-02 01:40:00,26,Indore,Not Safe,Yes,No
2025-05-02 01:50:00,42,Lucknow,Somewhat Safe,Yes,No
2025-05-02 02:00:00,26,Surat,Not Safe,No,No
2025-05-02 02:10:00,26,Amritsar,Very Safe,No,No
2025-05-02 02:20:00,25,Lucknow,Somewhat Safe,Yes,No
2025-05-02 02:30:00,19,Kolkata,Not Safe,No,Yes
2025-05-02 02:40:00,42,Delhi,Very Safe,Yes,No
2025-05-02 02:50:00,31,Nagpur,Very Safe,Yes,Yes
2025-05-02 03:00:00,26,Delhi,Very Safe,Yes,Yes
2025-05-02 03:10:00,49,Patna,Very Safe,No,Yes
2025-05-02 03:20:00,21,Chennai,Very Safe,No,No
2025-05-02 03:30:00,21,Surat,Very Safe,Yes,No
2025-05-02 03:40:00,23,Guwahati,Very Safe,Yes,Yes
2025-05-02 03:50:00,35,Hyderabad,Very Safe,Yes,No
2025-05-02 04:00:00,33,Kanpur,Somewhat Safe,Yes,Yes
2025-05-02 04:10:00,42,Ranchi,Not Safe,No,Yes
2025-05-02 04:20:00,22,Jaipur,Very Safe,Yes,No
2025-05-02 04:30:00,18,Bhopal,Very Safe,Yes,No
2025-05-02 04:40:00,40,Guwahati,Somewhat Safe,No,No
2025-05-02 04:50:00,27,Indore,Not Safe,Yes,No
2025-05-02 05:00:00,41,Bhopal,Very Safe,Yes,No
2025-05-02 05:10:00,41,Indore,Very Safe,Yes,No
2025-05-02 05:20:00,30,Ranchi,Somewhat Safe,Yes,Yes
2025-05-02 05:30:00,24,Delhi,Very Safe,Yes,No
2025-05-02 05:40:00,47,Lucknow,Not Safe,Yes,Yes
2025-05-02 05:50:00,33,Bhopal,Not Safe,Yes,No
2025-05-02 06:00:00,23,Ranchi,Not Safe,Yes,No
2025-05-02 06:10:00,47,Mumbai,Not Safe,Yes,No
2025-05-02 06:20:00,31,Bhopal,Somewhat Safe,Yes,No
2025-05-02 06:30:00,31,Noida,Somewhat Safe,No,No
2025-05-02 06:40:00,48,Lucknow,Very Safe,No,Yes
2025-05-02 06:50:00,18,Indore,Not Safe,No,No
2025-05-02 07:00:00,38,Bhopal,Very Safe,Yes,No
2025-05-02 07:10:00,44,Lucknow,Very Safe,Yes,No
2025-05-02 07:20:00,26,Patna,Not Safe,No,No
2025-05-02 07:30:00,42,Ahmedabad,Somewhat Safe,Yes,No
2025-05-02 07:40:00,37,Bangalore,Very Safe,No,Yes
2025-05-02 07:50:00,20,Nagpur,Not Safe,Yes,Yes
2025-05-02 08:00:00,40,Indore,Not Safe,Yes,No
2025-05-02 08:10:00,19,Kanpur,Very Safe,Yes,Yes
2025-05-02 08:20:00,35,Ahmedabad,Somewhat Safe,Yes,No
2025-05-02 08:30:00,37,Bangalore,Somewhat Safe,Yes,Yes
2025-05-02 08:40:00,38,Nagpur,Somewhat Safe,Yes,Yes
2025-05-02 08:50:00,41,Lucknow,Not Safe,No,Yes
2025-05-02 09:00:00,41,Guwahati,Very Safe,Yes,Yes
2025-05-02 09:10:00,47,Lucknow,Not Safe,Yes,No
2025-05-02 09:20:00,29,Noida,Somewhat Safe,Yes,Yes
2025-05-02 09:30:00,44,Noida,Very Safe,Yes,No
2025-05-02 09:40:00,43,Noida,Somewhat Safe,Yes,No
2025-05-02 09:50:00,45,Kolkata,Very Safe,No,Yes
2025-05-02 10:00:00,38,Indore,Somewhat Safe,No,Yes
2025-05-02 10:10:00,25,Kolkata,Not Safe,No,No
2025-05-02 10:20:00,24,Delhi,Somewhat Safe,Yes,Yes
2025-05-02 10:30:00,24,Surat,Not Safe,Yes,No
2025-05-02 10:40:00,21,Kolkata,Very Safe,No,Yes
2025-05-02 10:50:00,44,Ranchi,Very Safe,No,Yes
2025-05-02 11:00:00,21,Nagpur,Not Safe,Yes,No
2025-05-02 11:10:00,45,Guwahati,Very Safe,Yes,Yes
2025-05-02 11:20:00,48,Hyderabad,Not Safe,Yes,No
2025-05-02 11:30:00,39,Surat,Somewhat Safe,No,Yes
2025-05-02 11:40:00,26,Kanpur,Somewhat Safe,Yes,Yes
2025-05-02 11:50:00,27,Noida,Not Safe,Yes,No
2025-05-02 12:00:00,45,Ahmedabad,Somewhat Safe,Yes,No
2025-05-02 12:10:00,41,Chennai,Very Safe,Yes,Yes
2025-05-02 12:20:00,34,Lucknow,Somewhat Safe,Yes,Yes
2025-05-02 12:30:00,45,Guwahati,Somewhat Safe,Yes,Yes
2025-05-02 12:40:00,44,Bhopal,Not Safe,No,Yes
2025-05-02 12:50:00,38,Lucknow,Not Safe,Yes,Yes
2025-05-02 13:00:00,40,Jaipur,Somewhat Safe,Yes,Yes
2025-05-02 13:10:00,33,Mumbai,Very Safe,Yes,No
2025-05-02 13:20:00,46,Bhopal,Not Safe,No,No
2025-05-02 13:30:00,28,Mumbai,Not Safe,Yes,No
2025-05-02 13:40:00,39,Chennai,Very Safe,Yes,No
2025-05-02 13:50:00,22,Jaipur,Very Safe,Yes,Yes
2025-05-02 14:00:00,20,Patna,Very Safe,Yes,Yes
2025-05-02 14:10:00,28,Kolkata,Somewhat Safe,No,No
2025-05-02 14:20:00,19,Nagpur,Somewhat Safe,Yes,Yes
2025-05-02 14:30:00,30,Jaipur,Not Safe,No,No
2025-05-02 14:40:00,50,Mumbai,Not Safe,Yes,Yes
2025-05-02 14:50:00,23,Surat,Somewhat Safe,Yes,Yes
2025-05-02 15:00:00,47,Jaipur,Very Safe,Yes,No
2025-05-02 15:10:00,21,Nagpur,Somewhat Safe,Yes,Yes
2025-05-02 15:20:00,35,Bangalore,Not Safe,Yes,Yes
2025-05-02 15:30:00,35,Kanpur,Very Safe,Yes,Yes
2025-05-02 15:40:00,21,Kolkata,Very Safe,No,No
2025-05-02 15:50:00,28,Ahmedabad,Somewhat Safe,Yes,No
2025-05-02 16:00:00,35,Ranchi,Somewhat Safe,No,No
2025-05-02 16:10:00,30,Delhi,Somewhat Safe,Yes,No
2025-05-02 16:20:00,40,Patna,Very Safe,Yes,No
2025-05-02 16:30:00,48,Nagpur,Very Safe,No,No
2025-05-02 16:40:00,18,Jaipur,Not Safe,No,Yes
2025-05-02 16:50:00,42,Indore,Somewhat Safe,Yes,Yes
2025-05-02 17:00:00,26,Bangalore,Not Safe,Yes,No
2025-05-02 17:10:00,23,Chennai,Not Safe,No,Yes
2025-05-02 17:20:00,37,Indore,Somewhat Safe,Yes,No
2025-05-02 17:30:00,50,Mumbai,Somewhat Safe,Yes,No
2025-05-02 17:40:00,35,Kanpur,Not Safe,Yes,Yes
2025-05-02 17:50:00,39,Jaipur,Very Safe,Yes,No
2025-05-02 18:00:00,47,Hyderabad,Very Safe,Yes,No
2025-05-02 18:10:00,22,Indore,Not Safe,No,No
2025-05-02 18:20:00,41,Jaipur,Not Safe,No,No
2025-05-02 18:30:00,44,Bhopal,Very Safe,No,No
2025-05-02 18:40:00,47,Ranchi,Not Safe,No,Yes
2025-05-02 18:50:00,40,Kanpur,Very Safe,Yes,Yes
2025-05-02 19:00:00,22,Kolkata,Very Safe,Yes,No
2025-05-02 19:10:00,35,Ahmedabad,Very Safe,No,Yes
2025-05-02 19:20:00,23,Jaipur,Somewhat Safe,Yes,Yes
2025-05-02 19:30:00,46,Guwahati,Somewhat Safe,No,Yes
2025-05-02 19:40:00,32,Amritsar,Not Safe,Yes,No
2025-05-02 19:50:00,49,Jaipur,Very Safe,Yes,Yes
2025-05-02 20:00:00,38,Ahmedabad,Not Safe,No,Yes
2025-05-02 20:10:00,32,Ranchi,Not Safe,No,Yes
2025-05-02 20:20:00,23,Delhi,Somewhat Safe,Yes,No
2025-05-02 20:30:00,42,Ranchi,Somewhat Safe,Yes,No
2025-05-02 20:40:00,28,Hyderabad,Somewhat Safe,No,Yes
2025-05-02 20:50:00,24,Ranchi,Not Safe,Yes,No
2025-05-02 21:00:00,36,Mumbai,Not Safe,No,Yes
2025-05-02 21:10:00,21,Kanpur,Somewhat Safe,No,Yes
2025-05-02 21:20:00,22,Bhopal,Somewhat Safe,Yes,No
2025-05-02 21:30:00,25,Noida,Somewhat Safe,Yes,Yes
2025-05-02 21:40:00,39,Kolkata,Somewhat Safe,Yes,Yes
2025-05-02 21:50:00,46,Kolkata,Very Safe,Yes,Yes
2025-05-02 22:00:00,46,Kolkata,Not Safe,Yes,Yes
2025-05-02 22:10:00,42,Chennai,Not Safe,Yes,Yes
2025-05-02 22:20:00,35,Bhopal,Somewhat Safe,No,No
2025-05-02 22:30:00,47,Lucknow,Not Safe,No,Yes
2025-05-02 22:40:00,29,Ranchi,Very Safe,No,Yes
2025-05-02 22:50:00,43,Hyderabad,Not Safe,Yes,No
2025-05-02 23:00:00,36,Delhi,Not Safe,Yes,Yes
2025-05-02 23:10:00,32,Chennai,Somewhat Safe,No,No
2025-05-02 23:20:00,26,Surat,Very Safe,No,Yes
2025-05-02 23:30:00,32,Noida,Not Safe,Yes,Yes
2025-05-02 23:40:00,24,Bhopal,Somewhat Safe,Yes,No
2025-05-02 23:50:00,49,Guwahati,Very Safe,Yes,Yes
2025-05-03 00:00:00,36,Pune,Very Safe,Yes,Yes
2025-05-03 00:10:00,38,Nagpur,Very Safe,Yes,No
2025-05-03 00:20:00,33,Kolkata,Somewhat Safe,Yes,No
2025-05-03 00:30:00,29,Hyderabad,Not Safe,No,No
2025-05-03 00:40:00,24,Kanpur,Very Safe,Yes,Yes
2025-05-03 00:50:00,45,Lucknow,Not Safe,Yes,No
2025-05-03 01:00:00,50,Delhi,Very Safe,Yes,Yes
2025-05-03 01:10:00,50,Bangalore,Not Safe,No,No
2025-05-03 01:20:00,24,Ahmedabad,Somewhat Safe,Yes,No
2025-05-03 01:30:00,27,Bangalore,Very Safe,Yes,No
2025-05-03 01:40:00,25,Lucknow,Not Safe,Yes,Yes
2025-05-03 01:50:00,42,Mumbai,Very Safe,No,Yes
2025-05-03 02:00:00,23,Delhi,Not Safe,Yes,Yes
2025-05-03 02:10:00,36,Bangalore,Somewhat Safe,No,No
2025-05-03 02:20:00,39,Ahmedabad,Not Safe,Yes,No
2025-05-03 02:30:00,48,Kolkata,Not Safe,No,Yes
2025-05-03 02:40:00,18,Indore,Somewhat Safe,Yes,Yes
2025-05-03 02:50:00,36,Bhopal,Somewhat Safe,Yes,Yes
2025-05-03 03:00:00,18,Jaipur,Very Safe,Yes,No
2025-05-03 03:10:00,22,Delhi,Somewhat Safe,Yes,Yes
2025-05-03 03:20:00,27,Patna,Very Safe,No,No
2025-05-03 03:30:00,41,Amritsar,Not Safe,Yes,No
2025-05-03 03:40:00,33,Delhi,Very Safe,Yes,No
2025-05-03 03:50:00,21,Chennai,Somewhat Safe,Yes,No
2025-05-03 04:00:00,33,Noida,Very Safe,No,No
2025-05-03 04:10:00,28,Hyderabad,Very Safe,Yes,Yes
2025-05-03 04:20:00,25,Bhopal,Somewhat Safe,Yes,Yes
2025-05-03 04:30:00,28,Nagpur,Very Safe,Yes,No
2025-05-03 04:40:00,43,Jaipur,Somewhat Safe,Yes,No
2025-05-03 04:50:00,50,Noida,Not Safe,Yes,No
2025-05-03 05:00:00,20,Delhi,Somewhat Safe,Yes,No
2025-05-03 05:10:00,38,Patna,Somewhat Safe,Yes,No
2025-05-03 05:20:00,18,Guwahati,Not Safe,No,No
2025-05-03 05:30:00,26,Delhi,Not Safe,Yes,No
2025-05-03 05:40:00,41,Chennai,Not Safe,No,No
2025-05-03 05:50:00,41,Noida,Very Safe,No,No
2025-05-03 06:00:00,21,Chennai,Somewhat Safe,No,No
2025-05-03 06:10:00,32,Bhopal,Very Safe,Yes,No
2025-05-03 06:20:00,35,Jaipur,Somewhat Safe,Yes,Yes
2025-05-03 06:30:00,45,Kolkata,Not Safe,Yes,No
2025-05-03 06:40:00,25,Pune,Somewhat Safe,No,Yes
2025-05-03 06:50:00,21,Ranchi,Very Safe,Yes,Yes
2025-05-03 07:00:00,21,Surat,Not Safe,Yes,No
2025-05-03 07:10:00,21,Delhi,Not Safe,No,No
2025-05-03 07:20:00,19,Pune,Somewhat Safe,Yes,No
2025-05-03 07:30:00,20,Ranchi,Not Safe,Yes,No
2025-05-03 07:40:00,49,Ranchi,Not Safe,No,No
2025-05-03 07:50:00,39,Chennai,Somewhat Safe,No,No
2025-05-03 08:00:00,18,Chennai,Not Safe,Yes,Yes
2025-05-03 08:10:00,31,Surat,Not Safe,No,No
2025-05-03 08:20:00,26,Delhi,Somewhat Safe,Yes,Yes
2025-05-03 08:30:00,37,Patna,Very Safe,No,Yes
2025-05-03 08:40:00,18,Noida,Somewhat Safe,No,No
2025-05-03 08:50:00,47,Jaipur,Not Safe,Yes,Yes
2025-05-03 09:00:00,22,Nagpur,Very Safe,No,Yes
2025-05-03 09:10:00,48,Bhopal,Somewhat Safe,No,Yes
2025-05-03 09:20:00,24,Kanpur,Not Safe,Yes,No
2025-05-03 09:30:00,21,Jaipur,Not Safe,Yes,No
2025-05-03 09:40:00,34,Nagpur,Very Safe,Yes,No
2025-05-03 09:50:00,41,Mumbai,Not Safe,No,No
2025-05-03 10:00:00,46,Ranchi,Somewhat Safe,Yes,Yes
2025-05-03 10:10:00,25,Hyderabad,Somewhat Safe,Yes,Yes
2025-05-03 10:20:00,33,Nagpur,Somewhat Safe,Yes,No
2025-05-03 10:30:00,50,Kolkata,Very Safe,Yes,No
2025-05-03 10:40:00,36,Pune,Somewhat Safe,Yes,Yes
2025-05-03 10:50:00,38,Patna,Somewhat Safe,Yes,Yes
2025-05-03 11:00:00,43,Ranchi,Somewhat Safe,No,No
2025-05-03 11:10:00,24,Surat,Not Safe,Yes,No
2025-05-03 11:20:00,44,Chennai,Very Safe,Yes,Yes
2025-05-03 11:30:00,24,Ranchi,Not Safe,Yes,No
2025-05-03 11:40:00,23,Kanpur,Somewhat Safe,Yes,No
2025-05-03 11:50:00,29,Lucknow,Not Safe,No,No
2025-05-03 12:00:00,25,Surat,Somewhat Safe,Yes,No
2025-05-03 12:10:00,25,Kolkata,Somewhat Safe,Yes,Yes
2025-05-03 12:20:00,39,Kanpur,Somewhat Safe,Yes,No
2025-05-03 12:30:00,32,Lucknow,Not Safe,No,No
2025-05-03 12:40:00,50,Guwahati,Very Safe,No,Yes
2025-05-03 12:50:00,49,Bangalore,Somewhat Safe,No,No
2025-05-03 13:00:00,43,Ahmedabad,Not Safe,Yes,Yes
2025-05-03 13:10:00,47,Hyderabad,Not Safe,No,Yes
2025-05-03 13:20:00,30,Ranchi,Not Safe,No,No
2025-05-03 13:30:00,36,Indore,Very Safe,Yes,No
2025-05-03 13:40:00,29,Ranchi,Somewhat Safe,Yes,No
2025-05-03 13:50:00,26,Patna,Somewhat Safe,Yes,No
2025-05-03 14:00:00,38,Kanpur,Somewhat Safe,No,Yes
2025-05-03 14:10:00,45,Bangalore,Very Safe,Yes,No
2025-05-03 14:20:00,33,Patna,Somewhat Safe,Yes,Yes
2025-05-03 14:30:00,30,Chennai,Very Safe,Yes,No
2025-05-03 14:40:00,30,Bhopal,Not Safe,Yes,No
2025-05-03 14:50:00,42,Pune,Somewhat Safe,Yes,No
2025-05-03 15:00:00,20,Ahmedabad,Somewhat Safe,No,No
2025-05-03 15:10:00,44,Kolkata,Very Safe,No,Yes
2025-05-03 15:20:00,20,Ranchi,Somewhat Safe,No,No
2025-05-03 15:30:00,18,Kolkata,Very Safe,No,No
2025-05-03 15:40:00,31,Hyderabad,Somewhat Safe,Yes,Yes
2025-05-03 15:50:00,26,Guwahati,Not Safe,Yes,No
2025-05-03 16:00:00,31,Bangalore,Very Safe,Yes,No
2025-05-03 16:10:00,36,Amritsar,Somewhat Safe,Yes,No
2025-05-03 16:20:00,50,Pune,Very Safe,Yes,Yes
2025-05-03 16:30:00,46,Amritsar,Not Safe,Yes,No
2025-05-03 16:40:00,20,Delhi,Not Safe,Yes,Yes
2025-05-03 16:50:00,26,Kanpur,Very Safe,No,No
2025-05-03 17:00:00,40,Pune,Very Safe,No,No
2025-05-03 17:10:00,31,Bhopal,Not Safe,No,No
2025-05-03 17:20:00,49,Indore,Very Safe,Yes,No
2025-05-03 17:30:00,50,Hyderabad,Not Safe,Yes,No
2025-05-03 17:40:00,18,Noida,Very Safe,Yes,Yes
2025-05-03 17:50:00,47,Indore,Somewhat Safe,Yes,Yes
2025-05-03 18:00:00,35,Guwahati,Somewhat Safe,Yes,No
2025-05-03 18:10:00,49,Bhopal,Somewhat Safe,Yes,No
2025-05-03 18:20:00,19,Nagpur,Not Safe,Yes,No
2025-05-03 18:30:00,21,Nagpur,Somewhat Safe,Yes,No
2025-05-03 18:40:00,28,Bhopal,Not Safe,Yes,No
2025-05-03 18:50:00,31,Chennai,Somewhat Safe,Yes,Yes
2025-05-03 19:00:00,45,Lucknow,Not Safe,Yes,No
2025-05-03 19:10:00,30,Ranchi,Somewhat Safe,No,Yes
2025-05-03 19:20:00,33,Bhopal,Not Safe,Yes,Yes
2025-05-03 19:30:00,18,Kanpur,Somewhat Safe,Yes,Yes
2025-05-03 19:40:00,47,Hyderabad,Not Safe,No,Yes
2025-05-03 19:50:00,39,Noida,Somewhat Safe,Yes,No
2025-05-03 20:00:00,35,Nagpur,Somewhat Safe,No,No
2025-05-03 20:10:00,25,Surat,Not Safe,No,Yes
2025-05-03 20:20:00,36,Ahmedabad,Not Safe,No,No
2025-05-03 20:30:00,48,Guwahati,Very Safe,Yes,No
2025-05-03 20:40:00,21,Hyderabad,Somewhat Safe,Yes,Yes
2025-05-03 20:50:00,44,Jaipur,Very Safe,Yes,No
2025-05-03 21:00:00,43,Kanpur,Not Safe,No,Yes
2025-05-03 21:10:00,42,Amritsar,Very Safe,Yes,No
2025-05-03 21:20:00,29,Pune,Somewhat Safe,No,Yes
2025-05-03 21:30:00,49,Kanpur,Somewhat Safe,No,No
2025-05-03 21:40:00,42,Patna,Not Safe,No,No
2025-05-03 21:50:00,19,Pune,Very Safe,Yes,Yes
2025-05-03 22:00:00,18,Nagpur,Somewhat Safe,Yes,No
2025-05-03 22:10:00,48,Bhopal,Not Safe,No,No
2025-05-03 22:20:00,49,Chennai,Somewhat Safe,No,No
2025-05-03 22:30:00,38,Ahmedabad,Very Safe,No,No
2025-05-03 22:40:00,48,Delhi,Not Safe,No,Yes
2025-05-03 22:50:00,37,Bhopal,Not Safe,Yes,Yes
2025-05-03 23:00:00,42,Lucknow,Very Safe,Yes,No
2025-05-03 23:10:00,41,Pune,Very Safe,Yes,Yes
2025-05-03 23:20:00,31,Amritsar,Somewhat Safe,Yes,Yes
2025-05-03 23:30:00,25,Chennai,Not Safe,Yes,No
2025-05-03 23:40:00,29,Indore,Very Safe,No,No
2025-05-03 23:50:00,47,Hyderabad,Not Safe,Yes,No
2025-05-04 00:00:00,33,Hyderabad,Somewhat Safe,Yes,Yes
2025-05-04 00:10:00,30,Kanpur,Somewhat Safe,No,No
2025-05-04 00:20:00,18,Ahmedabad,Not Safe,Yes,No
2025-05-04 00:30:00,37,Kanpur,Very Safe,Yes,No
2025-05-04 00:40:00,44,Kolkata,Very Safe,Yes,No
2025-05-04 00:50:00,22,Surat,Not Safe,No,No
2025-05-04 01:00:00,47,Ahmedabad,Somewhat Safe,Yes,Yes
2025-05-04 01:10:00,32,Ranchi,Not Safe,Yes,No
2025-05-04 01:20:00,37,Hyderabad,Somewhat Safe,No,No
2025-05-04 01:30:00,49,Mumbai,Somewhat Safe,Yes,Yes
2025-05-04 01:40:00,27,Jaipur,Very Safe,No,Yes
2025-05-04 01:50:00,35,Indore,Not Safe,Yes,Yes
2025-05-04 02:00:00,26,Pune,Very Safe,Yes,No
2025-05-04 02:10:00,44,Jaipur,Not Safe,Yes,Yes
2025-05-04 02:20:00,22,Lucknow,Not Safe,No,No
2025-05-04 02:30:00,29,Chennai,Not Safe,Yes,No
2025-05-04 02:40:00,47,Guwahati,Somewhat Safe,Yes,No
2025-05-04 02:50:00,38,Pune,Somewhat Safe,Yes,No
2025-05-04 03:00:00,50,Chennai,Not Safe,No,Yes
2025-05-04 03:10:00,47,Surat,Very Safe,Yes,No
2025-05-04 03:20:00,26,Patna,Somewhat Safe,No,No
2025-05-04 03:30:00,50,Kanpur,Not Safe,No,No
2025-05-04 03:40:00,22,Kolkata,Very Safe,Yes,Yes
2025-05-04 03:50:00,46,Ahmedabad,Not Safe,No,No
2025-05-04 04:00:00,24,Bangalore,Somewhat Safe,Yes,No
2025-05-04 04:10:00,41,Patna,Very Safe,No,No
